dataset,tuning,metric,model,error_rate,bias
implicit40,True,demographic_parity,GradualCompatibility_tuned,49.8024,0.0728999999999999
implicit40,True,demographic_parity,RejectOptionClassification_tuned,44.7762,4.8876
implicit40,True,demographic_parity,EqOddsPostprocessing_tuned,42.772,6.4785
implicit40,True,demographic_parity,CalibratedEqOddsPostprocessing_tuned,25.885,75.4237
implicit40,True,demographic_parity,JiangNachum_tuned,40.9179,0.7384
implicit40,True,demographic_parity,DPAbstention_tuned,33.7151,1.0346
implicit40,True,demographic_parity,FaX_tuned,25.8624,76.8077
implicit40,True,demographic_parity,FairBayesDPP_tuned,26.7303,62.3014
implicit40,True,demographic_parity,GetFair_tuned,34.9784,22.3675
implicit50,True,demographic_parity,Reweighing_tuned,33.0388,12.112
implicit50,True,demographic_parity,LFR_tuned,38.3053,1.5895
implicit50,True,demographic_parity,DisparateImpactRemover_tuned,23.6447,84.78380000000001
implicit50,True,demographic_parity,Fair-SMOTE_tuned,33.2028,10.9056
implicit50,True,demographic_parity,FairSSL-CT_tuned,35.6992,2.8482
implicit50,True,demographic_parity,FairSSL-LP_tuned,33.9135,8.8163
implicit50,True,demographic_parity,FairSSL-LS_tuned,35.12520000000001,4.3314
implicit50,True,demographic_parity,FairSSL-ST_tuned,34.9886,6.206800000000001
implicit50,True,demographic_parity,LTDD_tuned,36.9476,5.394399999999999
implicit50,True,demographic_parity,PrejudiceRemover_tuned,37.8815,0.7130000000000001
implicit50,True,demographic_parity,SquaredDifferenceFairLogistic_tuned,31.3804,25.745
implicit50,True,demographic_parity,FairnessConstraintModel_tuned,37.795,1.5607999999999995
implicit50,True,demographic_parity,DisparateMistreatmentModel_tuned,29.8634,32.1036
implicit50,True,demographic_parity,ConvexFrameworkModel_tuned,30.451,29.8675
implicit50,True,demographic_parity,HSICLinearRegression_tuned,48.7062,0.0
implicit50,True,demographic_parity,GerryFairClassifier_tuned,49.62180000000001,2.9659
implicit50,True,demographic_parity,AdversarialDebiasing_tuned,44.3235,28.9755
implicit50,True,demographic_parity,ExponentiatedGradientReduction_tuned,35.1025,2.6802
implicit50,True,demographic_parity,GridSearchReduction_tuned,29.2438,32.5679
implicit50,True,demographic_parity,MetaFairClassifier_tuned,38.4646,8.6628
implicit50,True,demographic_parity,AdaFair_tuned,28.0911,61.630300000000005
implicit50,True,demographic_parity,FAGTB_tuned,39.0068,1.5797
implicit50,True,demographic_parity,HGR_tuned,51.293800000000005,0.0
implicit50,True,demographic_parity,FairDummies_tuned,43.90429999999999,1.7348
implicit50,True,demographic_parity,GeneralFairERM_tuned,48.2551,1.9107
implicit50,True,demographic_parity,MultiAdversarialDebiasing_tuned,38.6606,0.8108
implicit50,True,demographic_parity,FairGeneralizedLinearModel_tuned,31.6675,38.3407
implicit50,True,demographic_parity,GradualCompatibility_tuned,49.5808,0.1454
implicit50,True,demographic_parity,RejectOptionClassification_tuned,34.6287,5.605899999999999
implicit50,True,demographic_parity,EqOddsPostprocessing_tuned,46.246,4.6212
implicit50,True,demographic_parity,CalibratedEqOddsPostprocessing_tuned,23.7631,84.7733
implicit50,True,demographic_parity,JiangNachum_tuned,44.319,0.6905999999999999
implicit50,True,demographic_parity,DPAbstention_tuned,35.6492,1.5045
implicit50,True,demographic_parity,FaX_tuned,23.6264,87.53980000000001
implicit50,True,demographic_parity,FairBayesDPP_tuned,24.9021,75.94380000000001
implicit50,True,demographic_parity,GetFair_tuned,33.7312,38.1728
social10,True,demographic_parity,Reweighing_tuned,28.4513,7.6429
social10,True,demographic_parity,LFR_tuned,29.1912,0.5777
social10,True,demographic_parity,DisparateImpactRemover_tuned,29.0257,1.1983
social10,True,demographic_parity,Fair-SMOTE_tuned,28.4007,7.9883
social10,True,demographic_parity,FairSSL-CT_tuned,29.8667,3.5578000000000003
social10,True,demographic_parity,FairSSL-LP_tuned,29.6828,2.2239
social10,True,demographic_parity,FairSSL-LS_tuned,29.4254,1.6556
social10,True,demographic_parity,FairSSL-ST_tuned,28.9153,4.3025
social10,True,demographic_parity,LTDD_tuned,29.0396,1.1335
social10,True,demographic_parity,PrejudiceRemover_tuned,29.0488,3.7915
social10,True,demographic_parity,SquaredDifferenceFairLogistic_tuned,28.9522,0.8838
social10,True,demographic_parity,FairnessConstraintModel_tuned,29.0579,0.6367
social10,True,demographic_parity,DisparateMistreatmentModel_tuned,29.067,1.0638
social10,True,demographic_parity,ConvexFrameworkModel_tuned,28.9567,0.8560999999999999
social10,True,demographic_parity,HSICLinearRegression_tuned,28.966,0.9081
social10,True,demographic_parity,GerryFairClassifier_tuned,28.6352,13.5179
social10,True,demographic_parity,AdversarialDebiasing_tuned,29.048700000000004,1.8365
social10,True,demographic_parity,ExponentiatedGradientReduction_tuned,28.984300000000005,0.7837000000000001
social10,True,demographic_parity,GridSearchReduction_tuned,28.8558,0.9624
social10,True,demographic_parity,MetaFairClassifier_tuned,29.2187,2.0336
social10,True,demographic_parity,AdaFair_tuned,37.0266,7.0958
social10,True,demographic_parity,FAGTB_tuned,31.6267,0.7821
social10,True,demographic_parity,HGR_tuned,29.021,0.3560999999999999
social10,True,demographic_parity,FairDummies_tuned,28.7638,0.3779
social10,True,demographic_parity,GeneralFairERM_tuned,36.443,1.0123000000000002
social10,True,demographic_parity,MultiAdversarialDebiasing_tuned,28.9016,0.2364
social10,True,demographic_parity,FairGeneralizedLinearModel_tuned,29.0625,0.6681
social10,True,demographic_parity,GradualCompatibility_tuned,32.0864,0.3275
social10,True,demographic_parity,RejectOptionClassification_tuned,28.88330000000001,3.1247000000000003
social10,True,demographic_parity,EqOddsPostprocessing_tuned,30.5607,3.909
social10,True,demographic_parity,CalibratedEqOddsPostprocessing_tuned,28.9568,16.1915
social10,True,demographic_parity,JiangNachum_tuned,29.113100000000003,0.8140000000000001
social10,True,demographic_parity,DPAbstention_tuned,29.021100000000004,0.9134
social10,True,demographic_parity,FaX_tuned,28.975300000000004,0.964
social10,True,demographic_parity,FairBayesDPP_tuned,30.4181,10.0634
social10,True,demographic_parity,GetFair_tuned,28.8465,1.1723
social20,True,demographic_parity,Reweighing_tuned,29.878300000000003,8.4754
social20,True,demographic_parity,LFR_tuned,30.9427,0.1333
social20,True,demographic_parity,DisparateImpactRemover_tuned,30.7354,0.9135
social20,True,demographic_parity,Fair-SMOTE_tuned,29.8692,8.385900000000001
social20,True,demographic_parity,FairSSL-CT_tuned,30.5232,6.7271
social20,True,demographic_parity,FairSSL-LP_tuned,31.9576,1.7012999999999998
social20,True,demographic_parity,FairSSL-LS_tuned,30.7804,1.4364
social20,True,demographic_parity,FairSSL-ST_tuned,30.3788,8.717500000000001
social20,True,demographic_parity,LTDD_tuned,30.708299999999998,0.8435999999999999
social20,True,demographic_parity,PrejudiceRemover_tuned,31.1412,8.9507
social20,True,demographic_parity,SquaredDifferenceFairLogistic_tuned,30.6721,0.7179000000000001
social20,True,demographic_parity,FairnessConstraintModel_tuned,30.6812,0.8051
social20,True,demographic_parity,DisparateMistreatmentModel_tuned,31.3622,1.0641
social20,True,demographic_parity,ConvexFrameworkModel_tuned,30.6812,0.7909000000000002
social20,True,demographic_parity,HSICLinearRegression_tuned,31.190800000000003,0.9131
social20,True,demographic_parity,GerryFairClassifier_tuned,42.9591,9.3374
social20,True,demographic_parity,AdversarialDebiasing_tuned,30.69,2.4825
social20,True,demographic_parity,ExponentiatedGradientReduction_tuned,30.667600000000004,0.67
social20,True,demographic_parity,GridSearchReduction_tuned,30.7037,0.8826
social20,True,demographic_parity,MetaFairClassifier_tuned,30.7216,5.509500000000001
social20,True,demographic_parity,AdaFair_tuned,36.2653,18.9534
social20,True,demographic_parity,FAGTB_tuned,33.315200000000004,0.4312999999999999
social20,True,demographic_parity,HGR_tuned,30.757800000000003,0.2612
social20,True,demographic_parity,FairDummies_tuned,30.649500000000003,0.2576
social20,True,demographic_parity,GeneralFairERM_tuned,45.006800000000005,1.3205
social20,True,demographic_parity,MultiAdversarialDebiasing_tuned,30.6946,0.3645
social20,True,demographic_parity,FairGeneralizedLinearModel_tuned,30.6856,0.7379000000000001
social20,True,demographic_parity,GradualCompatibility_tuned,33.4957,0.4770999999999999
social20,True,demographic_parity,RejectOptionClassification_tuned,30.2797,4.6736
social20,True,demographic_parity,EqOddsPostprocessing_tuned,33.667,7.2972
social20,True,demographic_parity,CalibratedEqOddsPostprocessing_tuned,29.0573,28.71100000000001
social20,True,demographic_parity,JiangNachum_tuned,31.4119,0.7493
social20,True,demographic_parity,DPAbstention_tuned,30.9968,0.8505
social20,True,demographic_parity,FaX_tuned,30.7172,0.762
social20,True,demographic_parity,FairBayesDPP_tuned,31.9034,21.601000000000003
social20,True,demographic_parity,GetFair_tuned,30.5908,1.0594
social30,True,demographic_parity,Reweighing_tuned,28.9016,10.4325
social30,True,demographic_parity,LFR_tuned,30.281,0.5195
social30,True,demographic_parity,DisparateImpactRemover_tuned,30.5094,0.6514000000000001
social30,True,demographic_parity,Fair-SMOTE_tuned,28.8286,11.1668
social30,True,demographic_parity,FairSSL-CT_tuned,29.436,9.2244
social30,True,demographic_parity,FairSSL-LP_tuned,30.9386,7.1079
social30,True,demographic_parity,FairSSL-LS_tuned,29.6003,5.9437
social30,True,demographic_parity,FairSSL-ST_tuned,27.3486,31.085700000000003
social30,True,demographic_parity,LTDD_tuned,30.5274,0.7905
social30,True,demographic_parity,PrejudiceRemover_tuned,29.9018,19.074800000000003
social30,True,demographic_parity,SquaredDifferenceFairLogistic_tuned,30.4635,0.4304
social30,True,demographic_parity,FairnessConstraintModel_tuned,30.6051,0.5112
