metric,dataset,model,binarize,ignore,error_rate,bias,max_bias_gap
equalized_odds,credit_card_clients,Reweighing,False,False,19.52222222222222,2.891754323642345,
equalized_odds,credit_card_clients,LFR,False,False,23.033333333333328,0.0,
equalized_odds,credit_card_clients,PFR,False,False,19.566666666666663,0.7057414181881108,
equalized_odds,credit_card_clients,FairRR,False,False,19.53333333333333,1.3655993184705693,
equalized_odds,credit_card_clients,ExponentiatedGradientReduction,False,False,19.55555555555556,1.175142110035894,
equalized_odds,credit_card_clients,GridSearchReduction,False,False,19.55555555555556,1.175142110035894,
equalized_odds,credit_card_clients,FAGTB,False,False,18.8,3.081476516943124,
equalized_odds,credit_card_clients,RejectOptionClassification,False,False,24.177777777777777,1.6926307128684523,
equalized_odds,credit_card_clients,EqOddsPostprocessing,False,False,20.044444444444444,0.0852097123954155,
equalized_odds,credit_card_clients,CalibratedEqOddsPostprocessing,False,False,20.78888888888889,5.49095245806359,
equalized_odds,credit_card_clients,LevEqOpp,False,False,19.54444444444444,3.097060376947572,
equalized_odds,credit_card_clients,JiangNachum,False,False,19.15555555555556,1.9762433773270027,
equalized_odds,adult_data_set_race,Reweighing,False,True,19.59748063418518,3.456970637995944,
equalized_odds,adult_data_set_race,LFR,False,True,24.723086947078844,0.0,
equalized_odds,adult_data_set_race,PFR,False,True,21.50148410917252,4.767364338114322,
equalized_odds,adult_data_set_race,FairRR,False,True,19.67711576051545,4.548152588707937,
equalized_odds,adult_data_set_race,ExponentiatedGradientReduction,False,True,20.241801201766453,0.7933283081275749,
equalized_odds,adult_data_set_race,GridSearchReduction,False,True,19.930500253384498,0.7218592977200379,
equalized_odds,adult_data_set_race,FAGTB,False,True,19.92326069644538,0.471867722981844,
equalized_odds,adult_data_set_race,RejectOptionClassification,False,True,26.49677839716209,3.035299932268434,
equalized_odds,adult_data_set_race,EqOddsPostprocessing,False,True,20.524143922391943,1.6065812115698093,
equalized_odds,adult_data_set_race,CalibratedEqOddsPostprocessing,False,True,19.95221892420184,25.605942060223995,
equalized_odds,adult_data_set_race,LevEqOpp,False,True,19.77123000072396,2.151305172609684,
equalized_odds,adult_data_set_race,JiangNachum,False,True,20.220082530949103,2.1796004212238347,
equalized_odds,adult_data_set_race,Reweighing,False,False,19.691594874393694,1.4584953708770263,
equalized_odds,adult_data_set_race,LFR,False,False,24.723086947078844,0.0,
equalized_odds,adult_data_set_race,PFR,False,False,21.47976543835517,19.839705455849337,
equalized_odds,adult_data_set_race,FairRR,False,False,19.669876203576344,6.305500898171484,
equalized_odds,adult_data_set_race,ExponentiatedGradientReduction,False,False,20.133207847679724,0.364442016626073,
equalized_odds,adult_data_set_race,GridSearchReduction,False,False,19.930500253384498,0.7218592977200379,
equalized_odds,adult_data_set_race,FAGTB,False,False,19.68435531745457,0.1299947000582779,
equalized_odds,adult_data_set_race,RejectOptionClassification,False,False,28.28494896112358,3.321396883039471,
equalized_odds,adult_data_set_race,EqOddsPostprocessing,False,False,20.89336132628683,0.7930928139686728,
equalized_odds,adult_data_set_race,CalibratedEqOddsPostprocessing,False,False,20.031854050532104,27.433632067055747,
equalized_odds,adult_data_set_race,LevEqOpp,False,False,19.6988344313328,0.8495733715522196,
equalized_odds,adult_data_set_race,JiangNachum,False,False,19.75675088684572,1.2622112706804811,
equalized_odds,adult_data_set_sex,Reweighing,False,True,20.92955911098241,3.4618617425767813,
equalized_odds,adult_data_set_sex,LFR,False,True,24.723086947078844,0.0,
equalized_odds,adult_data_set_sex,PFR,False,True,24.30319264461015,2.412362634325707,
equalized_odds,adult_data_set_sex,FairRR,False,True,20.8788822124086,6.758750724199039,
equalized_odds,adult_data_set_sex,ExponentiatedGradientReduction,False,True,21.2553391732426,2.8661822101088004,
equalized_odds,adult_data_set_sex,GridSearchReduction,False,True,21.754868602041554,1.9261261552511568,
equalized_odds,adult_data_set_sex,FAGTB,False,True,23.78918410193296,2.6904832426422733,
equalized_odds,adult_data_set_sex,RejectOptionClassification,False,True,26.692246434518207,5.588050445689474,
equalized_odds,adult_data_set_sex,EqOddsPostprocessing,False,True,21.827264171432702,1.0003301881039004,
equalized_odds,adult_data_set_sex,CalibratedEqOddsPostprocessing,False,True,20.92231955404329,8.127021577615908,
equalized_odds,adult_data_set_sex,LevEqOpp,False,True,21.552161007746328,0.9965330250840038,
equalized_odds,adult_data_set_sex,JiangNachum,False,True,21.211901831607904,5.0083685806411244,
equalized_odds,adult_data_set_sex,Reweighing,False,False,21.204662274668795,1.802020900631992,
equalized_odds,adult_data_set_sex,LFR,False,False,24.723086947078844,0.0,
equalized_odds,adult_data_set_sex,PFR,False,False,21.47976543835517,29.34430055159214,
equalized_odds,adult_data_set_sex,FairRR,False,False,20.654455947296025,4.228388772078512,
equalized_odds,adult_data_set_sex,ExponentiatedGradientReduction,False,False,21.16846448997321,3.124085490549285,
equalized_odds,adult_data_set_sex,GridSearchReduction,False,False,21.754868602041554,1.9261261552511568,
equalized_odds,adult_data_set_sex,FAGTB,False,False,22.16028379063202,1.1057679003275576,
equalized_odds,adult_data_set_sex,RejectOptionClassification,False,False,27.32208788822124,6.078229844961694,
equalized_odds,adult_data_set_sex,EqOddsPostprocessing,False,False,24.462462897270687,1.1187571865674066,
equalized_odds,adult_data_set_sex,CalibratedEqOddsPostprocessing,False,False,19.77123000072396,32.73223405953719,
equalized_odds,adult_data_set_sex,LevEqOpp,False,False,21.711431260406865,1.5493227040082824,
equalized_odds,adult_data_set_sex,JiangNachum,False,False,21.320495185694632,4.377464297609088,
equalized_odds,acs2017_census,Reweighing,False,True,10.258525852585256,1.4989593891824768,
equalized_odds,acs2017_census,LFR,False,True,40.5986431976531,0.0,
equalized_odds,acs2017_census,PFR,False,True,25.95342867620095,8.014264459793646,
equalized_odds,acs2017_census,FairRR,False,True,10.153098643197657,2.754303750284321,
equalized_odds,acs2017_census,ExponentiatedGradientReduction,False,True,10.281444811147775,2.178335333980689,
equalized_odds,acs2017_census,GridSearchReduction,False,True,10.153098643197657,2.754303750284321,
equalized_odds,acs2017_census,FAGTB,False,True,59.4013568023469,0.0,
equalized_odds,acs2017_census,RejectOptionClassification,False,True,10.501466813348005,3.3148752534043715,
equalized_odds,acs2017_census,EqOddsPostprocessing,False,True,11.381554822148876,1.473442960171941,
equalized_odds,acs2017_census,CalibratedEqOddsPostprocessing,False,True,11.308214154748809,8.986583768950727,
equalized_odds,acs2017_census,LevEqOpp,False,True,10.37770443711038,0.6528586477379611,
equalized_odds,acs2017_census,JiangNachum,False,True,11.079024569123575,1.4284394133286236,
equalized_odds,acs2017_census,Reweighing,False,False,10.350201686835348,1.6256998416872246,
equalized_odds,acs2017_census,LFR,False,False,40.5986431976531,0.0,
equalized_odds,acs2017_census,PFR,False,False,26.022185551888523,29.29427477432548,
equalized_odds,acs2017_census,FairRR,False,False,10.139347268060138,5.79673082427272,
equalized_odds,acs2017_census,ExponentiatedGradientReduction,False,False,10.258525852585256,2.2265173200031763,
equalized_odds,acs2017_census,GridSearchReduction,False,False,10.153098643197657,2.754303750284321,
equalized_odds,acs2017_census,FAGTB,False,False,59.4013568023469,0.0,
equalized_odds,acs2017_census,RejectOptionClassification,False,False,10.40979097909791,5.251374624914193,
equalized_odds,acs2017_census,EqOddsPostprocessing,False,False,12.784195086175288,1.2076966102490043,
equalized_odds,acs2017_census,CalibratedEqOddsPostprocessing,False,False,11.221122112211225,11.107741418799586,
equalized_odds,acs2017_census,LevEqOpp,False,False,10.23560689402273,1.5040256785414707,
equalized_odds,acs2017_census,JiangNachum,False,False,10.574807480748072,0.3308439995830123,
treatment_equality,communities,Reweighing,False,True,16.19365609348915,17.59504862953139,
treatment_equality,communities,LFR,False,True,39.565943238731215,0.0,
treatment_equality,communities,PFR,False,True,32.3873121869783,41.003441003441,
treatment_equality,communities,FairRR,False,True,15.85976627712855,0.0,
treatment_equality,communities,ExponentiatedGradientReduction,False,True,26.37729549248748,59.615773508594536,
treatment_equality,communities,GridSearchReduction,False,True,21.368948247078468,56.57855657855657,
treatment_equality,communities,FAGTB,False,True,17.36227045075125,12.040263259775458,
