,metric,dataset,model,error_rate-DIFF,global-DIFF,DELTA-DIFF
216,equalized_odds,german,EqOddsPostprocessing,0.3333,-0.9996,-0.3331
217,equalized_odds,german,CalibratedEqOddsPostprocessing,1.3333,-8.6287,-3.6477
218,equalized_odds,german,JiangNachum,0.0,0.0,0.0
219,equalized_odds,implicit10,LFR,0.1368,0.2132,0.175
220,equalized_odds,implicit10,Reweighing,0.5701,-6.6665,-3.0482
221,equalized_odds,implicit10,Fair-SMOTE,0.4105,-6.7523,-3.1709
222,equalized_odds,implicit10,FairSSL-LS,1.2999,-9.5801,-4.1401
223,equalized_odds,implicit10,FairSSL-CT,0.5473,-13.8655,-6.6591
224,equalized_odds,implicit10,FairSSL-LP,0.0,-9.1246,-4.5623
225,equalized_odds,implicit10,FairSSL-ST,0.4789,-18.1717,-8.8464
226,equalized_odds,implicit10,GridSearchReduction,0.0456,6.7086,3.3771
227,equalized_odds,implicit10,ExponentiatedGradientReduction,-2.3033,0.6881,-0.8076
228,equalized_odds,implicit10,FAGTB,-0.9806,0.536,-0.2223
229,equalized_odds,implicit10,RejectOptionClassification,0.1596,0.5924,0.376
230,equalized_odds,implicit10,EqOddsPostprocessing,-0.4561,1.7982,0.671
231,equalized_odds,implicit10,CalibratedEqOddsPostprocessing,0.0456,1.8995,0.9725
232,equalized_odds,implicit10,JiangNachum,-6.2714,0.2525,-3.0095
233,equalized_odds,implicit20,LFR,9.1198,-18.6512,-4.7657
234,equalized_odds,implicit20,Reweighing,2.2913,-12.3612,-5.0349
235,equalized_odds,implicit20,Fair-SMOTE,2.2913,-12.3612,-5.0349
236,equalized_odds,implicit20,FairSSL-LS,0.4991,9.4276,4.9633
237,equalized_odds,implicit20,FairSSL-CT,0.9755,10.0138,5.4946
238,equalized_odds,implicit20,FairSSL-LP,0.0681,5.2967,2.6824
239,equalized_odds,implicit20,FairSSL-ST,0.0,0.0,0.0
240,equalized_odds,implicit20,GridSearchReduction,-5.8076,9.413,1.8027
241,equalized_odds,implicit20,ExponentiatedGradientReduction,-0.8167,0.3531,-0.2318
242,equalized_odds,implicit20,FAGTB,0.1815,0.0889,0.1352
243,equalized_odds,implicit20,RejectOptionClassification,0.1588,-0.2658,-0.0535
244,equalized_odds,implicit20,EqOddsPostprocessing,-0.363,-0.1941,-0.2785
245,equalized_odds,implicit20,CalibratedEqOddsPostprocessing,-0.4537,5.6792,2.6127
246,equalized_odds,implicit20,JiangNachum,-0.3403,1.6183,0.639
247,equalized_odds,implicit30,LFR,-6.4385,-19.6928,-13.0657
248,equalized_odds,implicit30,Reweighing,0.7429,-17.8777,-8.5674
