,metric,dataset,model,error_rate-DIFF,global-DIFF,DELTA-DIFF
217,equalized_odds,german,GridSearchReduction_tuned,0.0,0.0,0.0
218,equalized_odds,german,ExponentiatedGradientReduction_tuned,-0.3333,0.7463,0.2065
219,equalized_odds,german,FAGTB_tuned,0.0,0.0,0.0
220,equalized_odds,german,RejectOptionClassification_tuned,-8.0,-7.2046,-7.6023
221,equalized_odds,german,EqOddsPostprocessing_tuned,5.0,-6.3024,-0.6512
222,equalized_odds,german,CalibratedEqOddsPostprocessing_tuned,-1.3333,31.8563,15.2615
223,equalized_odds,german,JiangNachum_tuned,0.0,0.0,0.0
224,equalized_odds,implicit10,LFR_tuned,0.3193,0.0499,0.1846
225,equalized_odds,implicit10,Reweighing_tuned,0.5701,-6.6665,-3.0482
226,equalized_odds,implicit10,Fair-SMOTE_tuned,0.1368,-0.8038,-0.3335
227,equalized_odds,implicit10,FairSSL-LS_tuned,0.0,0.0,0.0
228,equalized_odds,implicit10,FairSSL-CT_tuned,-0.3193,0.0816,-0.1188
229,equalized_odds,implicit10,FairSSL-LP_tuned,0.0228,0.0486,0.0357
230,equalized_odds,implicit10,FairSSL-ST_tuned,-0.0684,0.2214,0.0765
231,equalized_odds,implicit10,GridSearchReduction_tuned,0.0,0.0,0.0
232,equalized_odds,implicit10,ExponentiatedGradientReduction_tuned,0.0912,-0.0345,0.0283
233,equalized_odds,implicit10,FAGTB_tuned,2.5086,-1.5475,0.4805
234,equalized_odds,implicit10,RejectOptionClassification_tuned,-0.0456,0.0261,-0.0097
235,equalized_odds,implicit10,EqOddsPostprocessing_tuned,-0.2281,0.6069,0.1894
236,equalized_odds,implicit10,CalibratedEqOddsPostprocessing_tuned,0.3877,-1.3303,-0.4713
237,equalized_odds,implicit10,JiangNachum_tuned,-3.512,0.9936,-1.2592
238,equalized_odds,implicit20,LFR_tuned,-0.0454,0.8571,0.4059
239,equalized_odds,implicit20,Reweighing_tuned,2.2913,-12.3612,-5.0349
240,equalized_odds,implicit20,Fair-SMOTE_tuned,0.0,0.0,0.0
241,equalized_odds,implicit20,FairSSL-LS_tuned,0.0,0.0,0.0
242,equalized_odds,implicit20,FairSSL-CT_tuned,0.0454,0.0794,0.0624
243,equalized_odds,implicit20,FairSSL-LP_tuned,-0.0681,-0.0198,-0.0439
244,equalized_odds,implicit20,FairSSL-ST_tuned,0.0,0.0,0.0
245,equalized_odds,implicit20,GridSearchReduction_tuned,0.0,0.0,0.0
246,equalized_odds,implicit20,ExponentiatedGradientReduction_tuned,-0.0227,0.1918,0.0846
247,equalized_odds,implicit20,FAGTB_tuned,-0.726,0.8602,0.0671
248,equalized_odds,implicit20,RejectOptionClassification_tuned,0.0681,0.4378,0.2529
249,equalized_odds,implicit20,EqOddsPostprocessing_tuned,-0.2495,-0.479,-0.3643
250,equalized_odds,implicit20,CalibratedEqOddsPostprocessing_tuned,-0.3857,2.8857,1.25
251,equalized_odds,implicit20,JiangNachum_tuned,0.2042,-0.4259,-0.1109
252,equalized_odds,implicit30,LFR_tuned,0.0675,0.1003,0.0839
253,equalized_odds,implicit30,Reweighing_tuned,0.7429,-17.8777,-8.5674
254,equalized_odds,implicit30,Fair-SMOTE_tuned,0.045,0.1355,0.0903
255,equalized_odds,implicit30,FairSSL-LS_tuned,0.0,0.0,0.0
256,equalized_odds,implicit30,FairSSL-CT_tuned,0.0675,-0.9109,-0.4217
257,equalized_odds,implicit30,FairSSL-LP_tuned,0.0,0.0,0.0
258,equalized_odds,implicit30,FairSSL-ST_tuned,0.09,0.056,0.073
259,equalized_odds,implicit30,GridSearchReduction_tuned,0.0,0.0,0.0
260,equalized_odds,implicit30,ExponentiatedGradientReduction_tuned,-0.3827,0.133,-0.1248
261,equalized_odds,implicit30,FAGTB_tuned,-4.48,-1.8743,-3.1771
262,equalized_odds,implicit30,RejectOptionClassification_tuned,-0.1126,0.25,0.0687
263,equalized_odds,implicit30,EqOddsPostprocessing_tuned,-0.045,0.7704,0.3627
264,equalized_odds,implicit30,CalibratedEqOddsPostprocessing_tuned,-0.5628,1.1403,0.2888
265,equalized_odds,implicit30,JiangNachum_tuned,-9.05,-3.6991,-6.3745
266,equalized_odds,implicit40,LFR_tuned,0.4317,0.7277,0.5797
267,equalized_odds,implicit40,Reweighing_tuned,-0.7044,-0.0883,-0.3963
268,equalized_odds,implicit40,Fair-SMOTE_tuned,0.2045,0.7985,0.5015
269,equalized_odds,implicit40,FairSSL-LS_tuned,0.0,0.0,0.0
270,equalized_odds,implicit40,FairSSL-CT_tuned,-0.3181,-1.1124,-0.7152
271,equalized_odds,implicit40,FairSSL-LP_tuned,0.0,0.0,0.0
272,equalized_odds,implicit40,FairSSL-ST_tuned,0.0227,-0.2347,-0.106
273,equalized_odds,implicit40,GridSearchReduction_tuned,0.0,0.0,0.0
274,equalized_odds,implicit40,ExponentiatedGradientReduction_tuned,-0.1136,-0.3615,-0.2376
275,equalized_odds,implicit40,FAGTB_tuned,-0.9089,-1.083,-0.9959
